Byte,Hex,Decimal,Unicode
,,,
128,2610,9744,?
129,2611,9745,?
130,2612,9746,?
131,2680,9856,?
132,7F,127,
133,7F,127,
134,7F,127,
135,263B,9787,?
136,263A,9786,?
137,2666,9830,?
138,2663,9827,?
139,2660,9824,?
140,2665,9829,?
141,25d8,9688,?
142,2022,8226,?
143,266c,9836,?
144,21f3,8691,?
145,2b04,11012,?
146,21e7,8679,?
147,21e9,8681,?
148,21e6,8678,?
149,21e8,8680,?
150,23FB,9211,?
151,1f4a1,128161,??
152,1f574,128372,??
153,1f5ab,128427,??
154,7F,127,
155,7F,127,
156,1f508,128264,??
157,00b6,182,ô
158,26a1,9889,?
159,2605,9733,?
160,23f8,9208,?
161,25b6,9654,?
162,23f9,9209,?
163,1f511,128273,??
164,20ac,8364,?
165,2302,8962,?
166,1f5d1,128465,??
167,1f3a7,127911,??
168,1f5b3,128435,??
169,7F,127,
170,7F,127,
171,7F,127,
172,7F,127,
173,25a4,9636,?
174,25a5,9637,?
175,25a6,9638,?
176,25a7,9639,?
177,25a9,9641,?
178,25a8,9640,?
179,2502,9474,³
180,2524,9508,´
181,2561,9569,?
182,2562,9570,?
183,2556,9558,?
184,2555,9557,?
185,2563,9571,¹
186,2551,9553,º
187,2557,9559,»
188,255D,9565,¼
189,255c,9564,?
190,255b,9563,?
191,2510,9488,¿
192,2514,9492,À
193,2534,9524,Á
194,252c,9516,Â
195,251c,9500,Ã
196,2500,9472,Ä
197,253c,9532,Å
198,255e,9566,?
199,255f,9567,?
200,255a,9562,È
201,2554,9556,É
202,2569,9577,Ê
203,2566,9574,Ë
204,2560,9568,Ì
205,2550,9552,Í
206,256c,9580,Î
207,2567,9575,?
208,2568,9576,?
209,2564,9572,?
210,2565,9573,?
211,2559,9561,?
212,2558,9560,?
213,2552,9554,?
214,2553,9555,?
215,256b,9579,?
216,256a,9578,?
217,2518,9496,Ù
218,250c,9484,Ú
219,2588,9608,Û
220,2584,9604,Ü
221,258c,9612,?
222,2590,9616,?
223,2580,9600,ß
224,03b1,945,?
225,03b2,946,?
226,0393,915,?
227,03c0,960,?
228,2211,8721,?
229,03c3,963,?
230,03bc,956,?
231,03b3,947,?
232,03a6,934,?
233,0398,920,?
234,03a9,937,?
235,03b4,948,?
236,221e,8734,?
237,03c6,966,?
238,3b5,949,?
239,2229,8745,?
240,2261,8801,?
241,00b1,177,ñ
242,2265,8805,?
243,2264,8804,?
244,00bd,189,«
245,00bc,188,¬
246,00f7,247,ö
247,2248,8776,?
248,00b0,176,ø
249,2219,8729,?
250,00b7,183,ú
251,221a,8730,?
252,207f,8319,?
253,00b2,178,ý
254,25a0,9632,þ
255,263c,9788,?
